Id,Designator,Package,Quantity,Designation,Supplier and ref
1,J1,battery_holder_18650,1,Conn_01x02,
2,"R4,R13",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,270R,
3,"TP2,TP1",TestPoint_Pad_1.0x1.0mm,2,TestPoint,
4,"R8,R12,R11",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,10k,
5,R7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,120k,
6,R6,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,100k,
7,J4,PinHeader_1x06_P1.27mm_Horizontal,1,Conn_01x06_Male,
8,F1,Fuse_2512_6332Metric,1,Fuse,
9,"R9,R10,R5",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,0R,
10,"C15,C16,C9,C10,C17",C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,5,100n,
11,U5,SO-8_3.9x4.9mm_P1.27mm,1,IR2011,
12,"C14,C8,C6,C5,C4",C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,5,1u,
13,U4,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32F030F4Px,
14,"C7,C11,C2,C1",C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,4,4u7,
15,"C12,C13",C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,2,4p,
16,Y1,Crystal_SMD_EuroQuartz_MQ-4Pin_7.0x5.0mm,1,Crystal_GND24,
17,"R3,R1",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,47k,
18,R2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,330k,
19,"Q2,Q1",SOIC-8-SI4114DY-GE3,2,Q_NMOS_DGS,
20,"SW2,SW1",SW_Push_1P1T_NO_6x6mm_H9.5mm,2,SW_Push,
21,U1,TSOT-23-6,1,MAX5026EUT,
22,J3,Motor_Connector,1,Conn_01x02,
23,J2,USB_Micro-B_Wuerth_629105150521,1,USB_B_Micro,
24,L1,L_6.3x6.3_H3,1,10u,
25,"D4,D2",LED_PLCC-2,2,LED,
26,"D1,D3",D_SOD-123,2,MBR0520LT,
27,U2,SOT-89-3,1,MCP1700-2502E_SOT89,
28,U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX1811,
